Closing Date,State Abbreviation
27-Jan-12,MN
27-Jan-12,TN
27-Jan-12,FL
20-Jan-12,PA
20-Jan-12,GA
20-Jan-12,FL
16-Dec-11,AZ
16-Dec-11,FL
18-Nov-11,LA
18-Nov-11,IA
10-Nov-11,GA
04-Nov-11,UT
04-Nov-11,NE
28-Oct-11,IL
21-Oct-11,CO
21-Oct-11,GA
21-Oct-11,GA
21-Oct-11,FL
14-Oct-11,IL
14-Oct-11,NJ
14-Oct-11,NC
14-Oct-11,GA
07-Oct-11,MO
07-Oct-11,MN
30-Sep-11,TX
23-Sep-11,CA
23-Sep-11,VA
09-Sep-11,FL
02-Sep-11,GA
02-Sep-11,GA
19-Aug-11,IL
19-Aug-11,GA
19-Aug-11,FL
18-Aug-11,PA
12-Aug-11,KS
05-Aug-11,WA
05-Aug-11,IL
29-Jul-11,IN
29-Jul-11,SC
29-Jul-11,VA
22-Jul-11,CO
22-Jul-11,FL
22-Jul-11,FL
15-Jul-11,AZ
15-Jul-11,FL
15-Jul-11,GA
15-Jul-11,GA
08-Jul-11,CO
08-Jul-11,CO
08-Jul-11,IL
24-Jun-11,GA
17-Jun-11,FL
17-Jun-11,GA
03-Jun-11,SC
27-May-11,WA
20-May-11,WA
20-May-11,GA
20-May-11,GA
06-May-11,FL
29-Apr-11,MI
29-Apr-11,GA
29-Apr-11,GA
29-Apr-11,FL
29-Apr-11,FL
15-Apr-11,MS
15-Apr-11,MN
15-Apr-11,AL
15-Apr-11,AL
15-Apr-11,GA
15-Apr-11,GA
08-Apr-11,NV
08-Apr-11,IL
25-Mar-11,IL
11-Mar-11,WI
11-Mar-11,OK
25-Feb-11,IL
18-Feb-11,CA
18-Feb-11,CA
18-Feb-11,GA
18-Feb-11,GA
11-Feb-11,CA
11-Feb-11,WI
11-Feb-11,MI
11-Feb-11,FL
04-Feb-11,IL
04-Feb-11,GA
04-Feb-11,GA
28-Jan-11,NM
28-Jan-11,CO
28-Jan-11,WI
28-Jan-11,OK
21-Jan-11,CO
21-Jan-11,NC
21-Jan-11,SC
21-Jan-11,GA
14-Jan-11,GA
07-Jan-11,AZ
07-Jan-11,FL
17-Dec-10,MN
